,Date,Hour,Number_of_Incidents
956,10/21/2017,2,3
957,10/21/2017,3,4
958,10/21/2017,4,6
959,10/21/2017,5,4
960,10/21/2017,6,5
961,10/21/2017,7,5
962,10/21/2017,8,2
963,10/21/2017,9,8
964,10/21/2017,10,15
965,10/21/2017,11,18
966,10/21/2017,12,18
967,10/21/2017,13,16
968,10/21/2017,14,14
969,10/21/2017,15,14
970,10/21/2017,16,10
971,10/21/2017,17,13
972,10/21/2017,18,12
973,10/21/2017,19,12
974,10/21/2017,20,4
975,10/21/2017,21,8
976,10/21/2017,22,6
977,10/21/2017,23,5
978,10/22/2017,0,5
979,10/22/2017,1,5
980,10/22/2017,2,10
981,10/22/2017,3,2
982,10/22/2017,4,1
983,10/22/2017,5,2
984,10/22/2017,6,5
985,10/22/2017,7,13
986,10/22/2017,8,7
987,10/22/2017,9,2
988,10/22/2017,10,10
989,10/22/2017,11,10
990,10/22/2017,12,11
991,10/22/2017,13,13
992,10/22/2017,14,11
993,10/22/2017,15,10
994,10/22/2017,16,7
995,10/22/2017,17,11
996,10/22/2017,18,14
997,10/22/2017,19,12
998,10/22/2017,20,12
999,10/22/2017,21,5
1000,10/22/2017,22,3
1001,10/22/2017,23,3
1002,10/23/2017,0,2
1003,10/23/2017,1,1
1004,10/23/2017,2,1
1005,10/23/2017,5,4
1006,10/23/2017,6,3
1007,10/23/2017,7,19
1008,10/23/2017,8,18
1009,10/23/2017,9,18
1010,10/23/2017,10,11
1011,10/23/2017,11,10
1012,10/23/2017,12,9
1013,10/23/2017,13,13
1014,10/23/2017,14,11
1015,10/23/2017,15,17
1016,10/23/2017,16,12
1017,10/23/2017,17,18
1018,10/23/2017,18,19
1019,10/23/2017,19,9
1020,10/23/2017,20,15
1021,10/23/2017,21,6
1022,10/23/2017,22,1
1023,10/23/2017,23,1
1024,10/24/2017,0,1
1025,10/24/2017,1,4
1026,10/24/2017,2,1
1027,10/24/2017,3,1
1028,10/24/2017,4,1
1029,10/24/2017,5,1
1030,10/24/2017,6,6
1031,10/24/2017,7,14
1032,10/24/2017,8,8
1033,10/24/2017,9,12
1034,10/24/2017,10,17
1035,10/24/2017,11,15
1036,10/24/2017,12,6
1037,10/24/2017,13,12
1038,10/24/2017,14,22
1039,10/24/2017,15,25
1040,10/24/2017,16,15
1041,10/24/2017,17,15
1042,10/24/2017,18,18
1043,10/24/2017,19,15
1044,10/24/2017,20,8
1045,10/24/2017,21,6
1046,10/24/2017,22,6
1047,10/24/2017,23,4
1048,10/25/2017,1,3
1049,10/25/2017,2,1
1050,10/25/2017,5,4
1051,10/25/2017,6,8
1052,10/25/2017,7,27
1053,10/25/2017,8,22
1054,10/25/2017,9,11
1055,10/25/2017,10,14
1056,10/25/2017,11,10
1057,10/25/2017,12,14
1058,10/25/2017,13,13
1059,10/25/2017,14,14
1060,10/25/2017,15,13
1061,10/25/2017,16,26
1062,10/25/2017,17,18
